Subj_idx,Stimulus,Response,Confidence,Visibility,RT_dec,contrast,Accuracy,Training,ScaleOrder
1,1,1,12.0231,5.2133,0.9738,5,1,0,Visibility first
1,1,2,0.0117,0.0117,1.1944,0,0,0,Visibility first
1,1,1,12.0231,5.9699,0.6293,5,1,0,Visibility first
1,2,2,-2.6371,0.0117,1.0699,2.2,1,0,Visibility first
1,2,2,-2.3534,-0.4619,1.1388,3.9,1,0,Visibility first
1,1,2,-2.3534,-0.651,1.3301,2.2,0,0,Visibility first
1,2,2,-2.6371,-0.4619,1.0625,0,1,0,Visibility first
1,1,2,-1.9751,-0.9348,1.2133,0,0,0,Visibility first
1,2,2,-7.3658,-6.9875,0.9394,3.9,1,0,Visibility first
1,1,1,10.9824,6.4428,0.816,5,1,0,Visibility first
1,1,1,12.0231,12.0231,0.8118,5,1,0,Visibility first
1,1,1,12.0231,12.0231,0.8857,5.5,1,0,Visibility first
1,2,2,12.0231,12.0231,0.8266,6.9,1,0,Visibility first
1,1,1,-1.4076,-0.9348,1.9182,2.2,1,0,Visibility first
1,1,1,12.0231,12.0231,0.7262,5.5,1,0,Visibility first
