Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Condition,Accuracy,Session,Visual_search_accuracy
1,1,0,3,0.739975,0.869785,0.409808,3,0,1,1
1,0,1,2,1.029866,2.609184,0.409808,3,0,1,1
1,1,1,2,0.510048,0.469909,0.450789,3,1,1,0
1,1,1,2,0.450052,0.859762,0.450789,3,1,1,1
1,1,1,2,0.280143,0.459902,0.450789,3,1,1,1
1,1,1,3,0.29007,0.449903,0.450789,3,1,1,0
1,1,1,3,0.32006,0.449899,0.450789,3,1,1,1
1,1,1,1,1.719637,2.629175,0.450789,3,1,1,1
1,1,1,2,1.559687,2.329273,0.450789,3,1,1,0
1,0,0,3,1.009881,1.019712,0.450789,3,1,1,0
1,1,1,2,0.490063,0.94975,0.450789,3,1,1,1
1,0,0,2,0.679966,0.369981,0.450789,3,1,1,1
1,0,1,2,0.330103,0.469901,0.409808,3,0,1,0
1,1,1,2,0.370206,2.629159,0.450789,3,1,1,1
1,0,0,2,0.230226,0.789799,0.450789,3,1,1,1
1,0,0,2,1.049872,1.029718,0.385382,2,1,1,NaN
1,1,1,2,0.879937,2.10937,0.350347,2,1,1,NaN
1,0,0,3,0.290121,0.829786,0.350347,2,1,1,NaN
1,0,0,3,0.200148,0.459905,0.350347,2,1,1,NaN
1,1,1,3,3.349063,0.879776,0.318498,2,1,1,NaN
1,0,0,3,0.390093,0.549869,0.318498,2,1,1,NaN
1,1,1,2,1.729633,0.759796,0.318498,2,1,1,NaN
1,0,0,3,0.280123,0.429915,0.318498,2,1,1,NaN
1,1,1,2,0.580009,1.219645,0.289543,2,1,1,NaN
1,0,0,3,0.480065,0.649826,0.289543,2,1,1,NaN
1,0,0,3,0.290079,0.469903,0.289543,2,1,1,NaN
1,0,0,3,0.350101,0.549889,0.263221,2,1,1,NaN
1,0,0,3,0.170173,0.979744,0.263221,2,1,1,NaN
1,0,0,3,0.390071,0.559877,0.239292,2,1,1,NaN
1,0,0,4,0.35011,0.939745,0.239292,2,1,1,NaN
1,0,0,3,0.689981,0.589873,0.217538,2,1,1,NaN
1,0,0,1,0.879877,0.649844,0.217538,2,1,1,NaN
1,0,0,1,0.839937,0.849878,0.197762,2,1,1,NaN
1,0,0,1,0.150178,0.469907,0.197762,2,1,1,NaN
1,0,1,1,1.189837,0.739911,0.179784,2,0,1,NaN
1,0,1,1,0.560011,0.359935,0.197762,2,0,1,NaN
1,1,1,1,0.390097,0.399948,0.217538,2,1,1,NaN
1,0,0,1,0.290192,0.409918,0.217538,2,1,1,NaN
1,1,0,1,0.440092,0.429939,0.217538,2,0,1,NaN
1,1,1,1,0.240143,0.509896,0.217538,2,1,1,NaN
1,0,0,2,0.080195,1.429581,0.217538,2,1,1,NaN
1,0,0,2,0.360083,0.529887,0.197762,2,1,1,NaN
1,0,0,2,0.380083,0.449928,0.197762,2,1,1,NaN
1,0,0,2,0.090194,0.459901,0.179784,2,1,1,NaN
1,1,0,1,0.679983,3.858755,0.179784,2,0,1,NaN
1,0,1,2,1.099846,0.949741,0.179784,2,0,1,NaN
1,1,1,2,0.370097,0.889759,0.197762,2,1,1,NaN
1,0,1,2,0.350107,0.389931,0.197762,2,0,1,NaN
1,0,0,2,0.450107,0.379931,0.217538,2,1,1,NaN
1,0,0,2,0.000209,0.479895,0.217538,2,1,1,NaN
1,1,1,1,0.779959,0.759807,0.197762,2,1,1,NaN
1,0,1,1,0.769929,1.039708,0.197762,2,0,1,NaN
1,0,1,2,1.029882,0.599869,0.217538,2,0,1,NaN
1,0,0,2,0.280103,0.549879,0.239292,2,1,1,NaN
