Subj_idx,Stimulus,Response,Accuracy,Confidence,RT_dec,Difficulty,Condition
32,1,1,1,1,1.088,16,1000
32,1,1,1,4,0.077,128,1000
32,1,1,1,4,0.079,64,1000
32,2,2,1,4,0.614,64,1000
32,2,2,1,4,0.134,128,1000
32,1,1,1,4,0.469,32,1000
32,2,2,1,4,0.19,64,1000
32,1,1,1,4,0.367,128,1000
32,1,1,1,4,0.319,64,1000
32,2,2,1,4,0.43,64,1000
32,2,2,1,4,0.365,128,1000
32,2,1,0,1,0.788,16,1000
32,1,1,1,4,0.334,64,1000
32,2,2,1,3,0.31,32,1000
32,1,1,1,3,0.243,32,1000
32,2,2,1,3,0.087,32,1000
32,2,2,1,3,0.339,32,1000
32,2,2,1,4,0.404,128,1000
32,1,1,1,4,0.26,128,1000
32,2,2,1,4,0.251,32,1000
32,1,1,1,4,0.226,128,1000
32,2,2,1,1,0.228,16,1000
32,1,1,1,2,0.231,16,1000
32,2,2,1,4,0.276,128,1000
32,2,2,1,2,0.181,16,1000
32,2,2,1,3,0.278,32,1000
32,2,2,1,4,0.183,32,1000
32,1,1,1,3,0.17,32,1000
32,1,1,1,4,0.435,64,1000
32,2,2,1,1,0.233,16,1000
32,2,1,0,1,0.284,16,1000
32,1,1,1,1,0.074,16,1000
32,2,2,1,1,0.21,16,1000
32,2,2,1,3,0.222,32,1000
32,2,2,1,2,0.178,16,1000
32,1,2,0,1,0.277,16,1000
32,2,2,1,4,0.346,128,1000
32,2,2,1,4,0.226,64,1000
32,1,1,1,1,0.163,16,1000
32,2,2,1,4,0.206,128,1000
32,1,1,1,4,0.249,64,1000
32,1,1,1,4,0.259,32,1000
32,2,2,1,4,0.265,128,1000
32,2,2,1,4,0.259,128,1000
32,1,1,1,4,0.266,32,1000
32,2,2,1,4,0.244,128,1000
32,1,1,1,3,0.731,16,1000
32,1,1,1,3,0.193,32,1000
32,1,1,1,1,0.272,16,1000
32,1,2,0,2,0.351,16,1000
32,1,2,0,1,0.214,16,1000
32,2,2,1,4,0.208,64,1000
32,2,2,1,1,0.209,32,1000
32,2,2,1,4,0.276,64,1000
32,1,1,1,4,0.302,64,1000
32,2,2,1,1,0.481,16,1000
32,2,2,1,4,0.304,64,1000
32,2,2,1,4,0.245,64,1000
32,2,2,1,4,0.286,64,1000
32,1,1,1,3,0.292,32,1000
32,1,1,1,4,0.317,128,1000
32,2,2,1,4,0.5,64,1000
32,1,1,1,4,0.466,128,1000
32,1,1,1,4,0.474,128,1000
32,2,1,0,1,0.286,32,1000
32,1,1,1,4,0.35,128,1000
32,1,1,1,3,0.509,32,1000
32,1,1,1,1,0.441,64,1000
